disease,dbxref
http://purl.obolibrary.org/obo/DOID_0070183,SNOMEDCT_US_2021_09_01:236806004
http://purl.obolibrary.org/obo/DOID_0070183,MESH:C562903
http://purl.obolibrary.org/obo/DOID_0110974,MIM:607004
http://purl.obolibrary.org/obo/DOID_0110165,MIM:607684
http://purl.obolibrary.org/obo/DOID_0110165,ICD10CM:G60.0
http://purl.obolibrary.org/obo/DOID_0110165,ORDO:99939
http://purl.obolibrary.org/obo/DOID_0050751,NCI:C4664
http://purl.obolibrary.org/obo/DOID_0050751,ICDO:9831/3
http://purl.obolibrary.org/obo/DOID_10330,SNOMEDCT_US_2023_03_01:1259003
http://purl.obolibrary.org/obo/DOID_10330,UMLS_CUI:C0340186
http://purl.obolibrary.org/obo/DOID_10330,NCI:C35397
http://purl.obolibrary.org/obo/DOID_0110741,ICD10CM:E10
http://purl.obolibrary.org/obo/DOID_0110741,MIM:125852
http://purl.obolibrary.org/obo/DOID_614,ICD9CM:288.51
http://purl.obolibrary.org/obo/DOID_614,SNOMEDCT_US_2023_03_01:48813009
http://purl.obolibrary.org/obo/DOID_614,MESH:D008231
http://purl.obolibrary.org/obo/DOID_614,UMLS_CUI:C0024312
http://purl.obolibrary.org/obo/DOID_614,ICD10CM:D72.810
http://purl.obolibrary.org/obo/DOID_7665,NCI:C39991
http://purl.obolibrary.org/obo/DOID_7665,UMLS_CUI:C1518355
http://purl.obolibrary.org/obo/DOID_0111809,SNOMEDCT_US_2023_03_01:699300009
http://purl.obolibrary.org/obo/DOID_0111809,GARD:4628
http://purl.obolibrary.org/obo/DOID_0111809,MIM:300166
http://purl.obolibrary.org/obo/DOID_0111809,UMLS_CUI:C1846265
http://purl.obolibrary.org/obo/DOID_0111809,ORDO:2712
http://purl.obolibrary.org/obo/DOID_0111809,MESH:C537465
http://purl.obolibrary.org/obo/DOID_10031,SNOMEDCT_US_2023_03_01:33325001
http://purl.obolibrary.org/obo/DOID_10031,ICD9CM:518.2
http://purl.obolibrary.org/obo/DOID_10031,ICD10CM:J98.3
http://purl.obolibrary.org/obo/DOID_10031,UMLS_CUI:C0155918
http://purl.obolibrary.org/obo/DOID_799,MIM:192200
http://purl.obolibrary.org/obo/DOID_799,UMLS_CUI:C0042345
http://purl.obolibrary.org/obo/DOID_799,MESH:D014648
http://purl.obolibrary.org/obo/DOID_799,ICD10CM:I83.90
