Disease,Disease_mondo_reference,Disease_uberon_reference,Disease_cl_reference,Disease_doid_reference
Complex regional pain syndrome type 2,prefix='mondo' identifier='0020572' name='complex regional pain syndrome type 2',,,
Complex regional pain syndrome type II,prefix='mondo' identifier='0020572' name='complex regional pain syndrome type 2',,,
Complex regional pain syndrome type 1,prefix='mondo' identifier='0011441' name='complex regional pain syndrome type 1',,,
Complex regional pain syndrome type I,prefix='mondo' identifier='0011441' name='complex regional pain syndrome type 1',,,
Reflex sympathetic dystrophy,prefix='mondo' identifier='0011441' name='complex regional pain syndrome type 1',,,prefix='doid' identifier='1811' name='reflex sympathetic dystrophy'
Crohn's disease,prefix='mondo' identifier='0005011' name='Crohn disease',,,"prefix='doid' identifier='8778' name=""Crohn's disease"""
Crohn's colitis,"prefix='mondo' identifier='0005532' name=""Crohn's colitis""",,,"prefix='doid' identifier='0060192' name=""Crohn's colitis"""
Crohn's granulomatous,,,,
Gastroduodenal Crohn's disease,prefix='mondo' identifier='0000710' name='gastroduodenal Crohn disease',,,"prefix='doid' identifier='0060191' name=""gastroduodenal Crohn's disease"""
Ileocolitis,prefix='mondo' identifier='0005534' name='ileocolitis',,,prefix='doid' identifier='0060190' name='ileocolitis'
Illeitis,,,,
Jejunoileitis,prefix='mondo' identifier='0000708' name='Crohn jejunoileitis',,,prefix='doid' identifier='0060188' name='jejunoileitis'
Cryptogenic organizing pneumonia,prefix='mondo' identifier='0015264' name='cryptogenic organizing pneumonia',,,prefix='doid' identifier='0050157' name='cryptogenic organizing pneumonia'
Bronchiolitis obliterans with organizing pneumonia,,,,
idiopathic interstitial pneumonia,prefix='mondo' identifier='0002429' name='idiopathic interstitial pneumonia',,,prefix='doid' identifier='2797' name='idiopathic interstitial pneumonia'
Interstitial pneumonia,,,,
Cutaneous lupus erythematosus,prefix='mondo' identifier='0005282' name='cutaneous lupus erythematosus',,,prefix='doid' identifier='0050169' name='cutaneous lupus erythematosus'
Discoid lupus,,,,
Discoid lupus erythematosus,prefix='mondo' identifier='0019558' name='discoid lupus erythematosus',,,
Lupus erythematosus tumidus,prefix='mondo' identifier='0019560' name='lupus erythematosus tumidus',,,
Chronic discoid lupus erythematosus,,,,
Subacute cutaneous lupus erythematosus,prefix='mondo' identifier='0015573' name='subacute cutaneous lupus erythematosus',,,
Discoid lupus erythematosus of oral mucosa,,,,
Cutaneous mastocytosis,prefix='mondo' identifier='0019023' name='cutaneous mastocytosis',,,prefix='doid' identifier='3663' name='cutaneous mastocytosis'
Dermatitis herpetiformis,prefix='mondo' identifier='0015614' name='dermatitis herpetiformis',,,prefix='doid' identifier='8505' name='dermatitis herpetiformis'
DH,"prefix='mondo' identifier='0011024' name='dermatitis herpetiformis, familial'",prefix='uberon' identifier='0002954' name='dorsal hypothalamic area',,
Duhring-Brocq disease,"prefix='mondo' identifier='0011024' name='dermatitis herpetiformis, familial'",,,
Duhring's disease,"prefix='mondo' identifier='0011024' name='dermatitis herpetiformis, familial'",,,prefix='doid' identifier='8505' name='dermatitis herpetiformis'
Gluten rash,,,,
Juvenile dermatomyositis,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,prefix='doid' identifier='14203' name='childhood type dermatomyositis'
Dermatomyositis,prefix='mondo' identifier='0016367' name='dermatomyositis',,,prefix='doid' identifier='10223' name='dermatomyositis'
Diabetes mellitus type 1,,,,
Insulin dependent Diabetes,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Juvenile diabetes,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Type 1 diabetes,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Type 1 diabetes mellitus,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,prefix='doid' identifier='9744' name='type 1 diabetes mellitus'
Eaton-Lambert syndrome,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
LEMS,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Lambert-Eaton myasthenic syndrome,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Lambert-Eaton syndrome,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Endometriosis,prefix='mondo' identifier='0005133' name='endometriosis',,,prefix='doid' identifier='289' name='endometriosis'
Adenomyometritis,,,,
Adenomyosis,prefix='mondo' identifier='0010888' name='adenomyosis',,,prefix='doid' identifier='288' name='endometriosis of uterus'
Adenomysis uteri,,,,
Endometriosis Uterina,,,,
Enthesitis,prefix='mondo' identifier='0024419' name='enthesitis',,,
Enthesitis-related arthritis,prefix='mondo' identifier='0019437' name='enthesitis-related juvenile idiopathic arthritis',,,
Enthesitis-related juvenile arthritis,,,,
Eosinophilic esophagitis,prefix='mondo' identifier='0005361' name='eosinophilic esophagitis',,,prefix='doid' identifier='13922' name='eosinophilic esophagitis'
Eosinophilic Oesophagitis,,,,
Epilepsy,prefix='mondo' identifier='0005027' name='epilepsy',,,prefix='doid' identifier='1826' name='epilepsy'
Episcleritis,,,,
EN,,,,
Erythema nodosum,prefix='mondo' identifier='0850231' name='erythema nodosum',,,prefix='doid' identifier='0080750' name='erythema nodosum'
Erythema nodosum of unknown etiology,,,,
Idiopathic erythema nodosum,,,,
Essential mixed cryoglobulinemia,prefix='mondo' identifier='0007407' name='Cryoglobulinemic vasculitis',,,
Autoimmune cryoglobulinemia,,,,
Cryoglobulinemic Vasculitis,prefix='mondo' identifier='0007407' name='Cryoglobulinemic vasculitis',,,
Evans syndrome,prefix='mondo' identifier='0016030' name='Evans syndrome',,,
Fasciitis with eosinophilia syndrome,,,,
Eosinophilic fasciitis,prefix='mondo' identifier='0009175' name='eosinophilic fasciitis',,,
Pansclerotic morphea with deep fascial involvement,,,,
Shulman syndrome,prefix='mondo' identifier='0009175' name='eosinophilic fasciitis',,,
Shulman's syndrome,,,,
Felty syndrome,prefix='mondo' identifier='0007603' name='Felty syndrome',,,"prefix='doid' identifier='11042' name=""Felty's syndrome"""
FS,prefix='mondo' identifier='0015267' name='Feingold syndrome',prefix='uberon' identifier='0022431' name='obsolete simian fossa (macaque)',prefix='cl' identifier='4310120' name='striatal pthlh-expressing interneuron (Primate)',
Felty's syndrome,prefix='mondo' identifier='0007603' name='Felty syndrome',,,"prefix='doid' identifier='11042' name=""Felty's syndrome"""
Super rheumatoid disease,,,,
Infertility due to antisperm antibodies,,,,
Female infertility due to antisperm antibodies,,,,
Fibromyalgia,prefix='mondo' identifier='0005546' name='fibromyalgia',,,prefix='doid' identifier='631' name='fibromyalgia'
Fibromyalgia Syndrome,prefix='mondo' identifier='0005546' name='fibromyalgia',,,
Thyrotoxicosis,prefix='mondo' identifier='0010138' name='thyrotoxicosis',,,prefix='doid' identifier='7997' name='thyrotoxicosis'
Thyrotoxicosis due to Graves' disease,,,,
Graves' disease,,,,"prefix='doid' identifier='12361' name=""Graves' disease"""
Autoimmune hyperthyroidism,,,,
Basedow disease,prefix='mondo' identifier='0005364' name='Graves disease',,,
Exophthalmic goiter,prefix='mondo' identifier='0005364' name='Graves disease',,,"prefix='doid' identifier='12361' name=""Graves' disease"""
Graves' hyperthyroidism,prefix='mondo' identifier='0005364' name='Graves disease',,,
Parry disease,prefix='mondo' identifier='0005364' name='Graves disease',,,
Toxic diffuse goiter,prefix='mondo' identifier='0001104' name='toxic diffuse goiter',,,prefix='doid' identifier='10719' name='toxic diffuse goiter'
MFS,prefix='mondo' identifier='0007947' name='Marfan syndrome',prefix='uberon' identifier='0014618' name='middle frontal sulcus',,
Fisher syndrome,prefix='mondo' identifier='0005851' name='Miller Fisher syndrome',,,
Miller-Fisher syndrome,prefix='mondo' identifier='0005851' name='Miller Fisher syndrome',,,prefix='doid' identifier='12889' name='Miller Fisher syndrome'
Miller Fisher syndrome,prefix='mondo' identifier='0005851' name='Miller Fisher syndrome',,,prefix='doid' identifier='12889' name='Miller Fisher syndrome'
Guillain-Barré syndrome,prefix='mondo' identifier='0016218' name='Guillain-Barre syndrome',,,prefix='doid' identifier='12842' name='Guillain-Barre syndrome'
Guillain-Barre Syndrome,prefix='mondo' identifier='0016218' name='Guillain-Barre syndrome',,,prefix='doid' identifier='12842' name='Guillain-Barre syndrome'
GBS,"prefix='mondo' identifier='0007691' name='Guillain-Barre syndrome, familial'",,,
Acute motor axonal neuropathy,prefix='mondo' identifier='0020349' name='acute motor axonal neuropathy',,,
Axonal Guillain-Barré syndrome,,,,
Progressive inflammatory neuropathy,,,,
Herpes gestationis,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,prefix='doid' identifier='14482' name='pemphigoid gestationis'
PG,,,,
Gestational pemphigoid,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,
Pemphigoid gestationis,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,prefix='doid' identifier='14482' name='pemphigoid gestationis'
Hidradenitis suppurativa,prefix='mondo' identifier='0006559' name='hidradenitis suppurativa',,,prefix='doid' identifier='2280' name='hidradenitis suppurativa'
Acne inversa,prefix='mondo' identifier='0006559' name='hidradenitis suppurativa',,,
